Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,1358.729980,1361.849976,1348.000000,1350.630005,1350.630005,996800
2019-12-24,1350.209961,1352.010010,1344.170044,1344.430054,1344.430054,673400
2019-12-26,1346.550049,1363.199951,1345.510010,1362.469971,1362.469971,1183100
2019-12-27,1364.000000,1367.050049,1353.000000,1354.640015,1354.640015,1160600
2019-12-30,1356.810059,1357.000000,1337.839966,1339.709961,1339.709961,999700
2019-12-31,1335.790039,1340.660034,1332.130005,1339.390015,1339.390015,975700
2020-01-02,1348.410034,1368.680054,1346.489990,1368.680054,1368.680054,1363900
2020-01-03,1348.000000,1373.750000,1347.319946,1361.520020,1361.520020,1170400
2020-01-06,1351.630005,1398.319946,1351.000000,1397.810059,1397.810059,2338400
2020-01-07,1400.459961,1403.500000,1391.560059,1395.109985,1395.109985,1716500
2020-01-08,1394.819946,1411.849976,1392.630005,1405.040039,1405.040039,1765700
2020-01-09,1421.930054,1428.680054,1410.209961,1419.790039,1419.790039,1660000
2020-01-10,1429.469971,1434.939941,1419.599976,1428.959961,1428.959961,1312900
2020-01-13,1435.250000,1441.479980,1425.369995,1440.030029,1440.030029,1536500
2020-01-14,1440.000000,1442.630005,1427.770020,1430.589966,1430.589966,1303800
2020-01-15,1433.020020,1440.780029,1431.660034,1439.199951,1439.199951,1077500
2020-01-16,1445.449951,1450.699951,1440.000000,1450.160034,1450.160034,1304000
2020-01-17,1462.540039,1480.550049,1456.550049,1479.520020,1479.520020,2621200
2020-01-21,1479.000000,1489.880005,1470.209961,1482.250000,1482.250000,2446500
2020-01-22,1489.729980,1500.579956,1482.660034,1483.869995,1483.869995,1422900
2020-01-23,1487.550049,1493.500000,1480.319946,1484.689941,1484.689941,1332500
2020-01-24,1492.819946,1494.199951,1463.180054,1466.170044,1466.170044,1489300
2020-01-27,1431.540039,1436.579956,1419.500000,1431.729980,1431.729980,1706600
2020-01-28,1441.739990,1454.800049,1430.359985,1450.500000,1450.500000,1486200
2020-01-29,1458.459961,1464.140015,1445.390015,1456.699951,1456.699951,1078300
2020-01-30,1438.099976,1455.250000,1435.000000,1454.250000,1454.250000,1355500
2020-01-31,1467.859985,1469.670044,1427.060059,1432.780029,1432.780029,2191100
2020-02-03,1461.650024,1486.300049,1456.609985,1482.599976,1482.599976,3608800
2020-02-04,1454.489990,1467.339966,1422.030029,1445.410034,1445.410034,4794000
2020-02-05,1463.609985,1464.579956,1429.680054,1446.050049,1446.050049,1818800
2020-02-06,1451.979980,1481.560059,1450.479980,1475.969971,1475.969971,1891100
2020-02-07,1467.390015,1485.250000,1465.410034,1479.109985,1479.109985,1418000
2020-02-10,1477.229980,1508.880005,1475.199951,1508.660034,1508.660034,1915100
2020-02-11,1513.270020,1529.880005,1505.449951,1510.060059,1510.060059,1742600
2020-02-12,1515.859985,1520.300049,1508.670044,1518.630005,1518.630005,1552100
2020-02-13,1510.000000,1525.949951,1504.000000,1513.390015,1513.390015,1145700
2020-02-14,1514.530029,1520.050049,1505.550049,1518.729980,1518.729980,1159900
2020-02-18,1514.339966,1530.560059,1511.010010,1519.439941,1519.439941,1282100
2020-02-19,1527.199951,1530.739990,1520.979980,1524.869995,1524.869995,1137300
2020-02-20,1519.010010,1527.069946,1504.260010,1516.989990,1516.989990,1298100
2020-02-21,1504.579956,1510.949951,1478.489990,1483.459961,1483.459961,2126000
